ts,platform,ms_played,conn_country,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp
2017-11-30 20:48:11+00:00,"iOS 11.1.2 (iPhone9,4)",229573,US,Candy Paint,Post Malone,Candy Paint,spotify:track:42CeaId2XNlxugDvyqHfDf,appload,trackdone,False,False,False,
2017-11-30 20:52:17+00:00,"iOS 11.1.2 (iPhone9,4)",245386,US,No Limit,G-Eazy,No Limit,spotify:track:2Xqd0wUttjueBfdcltADOv,trackdone,trackdone,False,False,False,
2017-11-30 20:54:21+00:00,"iOS 11.1.2 (iPhone9,4)",124055,US,Gucci Gang,Lil Pump,Gucci Gang,spotify:track:6foxplXS0YEq8cO374Lty4,trackdone,trackdone,False,False,False,
2017-11-30 20:57:07+00:00,"iOS 11.1.2 (iPhone9,4)",164670,US,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,Lil Uzi Vert,The Way Life Goes (feat. Nicki Minaj & Oh Wonder),spotify:track:6GNifiuBPrKFpwNBYnooFm,trackdone,fwdbtn,False,False,False,
2017-12-01 14:26:03+00:00,"iOS 11.1.2 (iPhone9,4)",84334,US,MotorSport,Migos,MotorSport,spotify:track:1YZfcVLbbJwfizR5cDOp3q,fwdbtn,unexpected-exit-while-paused,False,False,False,
2017-12-01 14:31:49+00:00,"iOS 11.1.2 (iPhone9,4)",268666,US,Intro III,NF,Perception,spotify:track:6e56CkYWD3JO6ovFZBA8po,clickrow,trackdone,False,False,False,
2017-12-01 15:04:40+00:00,"iOS 11.1.2 (iPhone9,4)",215600,US,My Life,NF,Perception,spotify:track:1kO0nC4VnEjMBeJZI7g2T2,trackdone,trackdone,False,False,True,1512140040851.0
2017-12-01 15:04:40+00:00,"iOS 11.1.2 (iPhone9,4)",325720,US,Outcast,NF,Perception,spotify:track:0we7ShV1o6cPTFjxOADPbC,trackdone,trackdone,False,False,False,
2017-12-01 15:04:40+00:00,"iOS 11.1.2 (iPhone9,4)",217106,US,10 Feet Down,NF,Perception,spotify:track:68biLwi894rMQPeIiSky2t,trackdone,trackdone,False,False,False,
2017-12-01 15:04:40+00:00,"iOS 11.1.2 (iPhone9,4)",312333,US,You're Special,NF,Perception,spotify:track:4dfy1Pij4jFFefoamgnoOF,trackdone,trackdone,False,False,True,1512140256411.0
2017-12-01 15:04:40+00:00,"iOS 11.1.2 (iPhone9,4)",221573,US,Dreams,NF,Perception,spotify:track:0wf9rSX8ds3yEI2gf2QdPs,trackdone,trackdone,False,False,True,1512139367670.0
2017-12-01 15:04:40+00:00,"iOS 11.1.2 (iPhone9,4)",181866,US,Green Lights,NF,Perception,spotify:track:0MvqSYPr5Wi62JB7VWvqwz,trackdone,trackdone,False,False,True,1512139185808.0
2017-12-01 15:04:40+00:00,"iOS 11.1.2 (iPhone9,4)",239480,US,Destiny,NF,Perception,spotify:track:5n4ZzdO7KtpxsDpoDTa3D6,trackdone,trackdone,False,False,True,1512139801321.0
2017-12-01 15:04:40+00:00,"iOS 11.1.2 (iPhone9,4)",212120,US,Let You Down,NF,Perception,spotify:track:52okn5MNA47tk87PeZJLEL,trackdone,trackdone,False,False,True,1512139589207.0
2017-12-01 15:06:18+00:00,"iOS 11.1.2 (iPhone9,4)",199386,US,If You Want Love,NF,Perception,spotify:track:3i5qVV8azKqGFK4Gzdt5YS,trackdone,trackdone,False,False,True,1512140568767.0
2017-12-01 15:43:28+00:00,"iOS 11.1.2 (iPhone9,4)",240386,US,Remember This,NF,Perception,spotify:track:5dMKsEQSlR2ITYpScl7UMd,trackdone,trackdone,False,False,False,
